                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3141,                 2.1105,                 1.2296,                0.95967,                0.42433,                0.93463,                0.65211,                0.90711,                 2.4356,                0.88492,             0.00065217,             0.00065217,             0.00065217
                      1,                0.92957,                 1.2182,                0.99372,                0.70999,                0.93278,                 0.7726,                0.58123,                0.91173,                  1.596,                0.85793,              0.0011883,              0.0011883,              0.0011883
                      2,                0.91132,                 1.0584,                0.99081,                0.86393,                0.94102,                0.95904,                0.74032,                 0.8636,                0.88449,                0.87043,              0.0015924,              0.0015924,              0.0015924
                      3,                0.88893,                0.92452,                0.98546,                0.96011,                0.89135,                0.95178,                 0.7441,                0.80935,                0.88887,                0.84361,               0.001406,               0.001406,               0.001406
                      4,                 0.8252,                0.80252,                0.96063,                0.95768,                0.95748,                0.98607,                0.76369,                0.82087,                0.68853,                0.85969,               0.001406,               0.001406,               0.001406
                      5,                0.80363,                 0.7365,                0.94746,                0.97114,                0.96921,                0.98998,                0.81167,                0.72804,                0.59324,                0.84232,               0.001208,               0.001208,               0.001208
                      6,                0.77671,                 0.6904,                0.93996,                0.95686,                0.97668,                0.98382,                0.81712,                0.67689,                0.55845,                 0.8053,                0.00101,                0.00101,                0.00101
                      7,                0.76474,                  0.626,                0.93843,                0.98017,                0.97942,                0.99243,                0.81914,                0.66868,                  0.542,                0.81349,               0.000812,               0.000812,               0.000812
                      8,                0.71801,                0.58479,                0.92136,                0.98211,                 0.9787,                0.99293,                0.84276,                0.64531,                0.45291,                0.79921,               0.000614,               0.000614,               0.000614
                      9,                0.70882,                0.54863,                0.91921,                0.98225,                0.97805,                0.99258,                0.84275,                 0.6213,                0.42415,                0.80469,               0.000416,               0.000416,               0.000416
