                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6818,                 3.4211,                 1.6026,                0.00333,                      1,                0.01545,                0.00526,                 1.7255,                 3.6575,                 1.8837,                  6e-05,                  6e-05,                  6e-05
                      1,                 1.5867,                 2.9741,                 1.4707,                0.00333,                      1,                0.58421,                0.36352,                 1.3205,                 3.0512,                 1.2582,             0.00013723,             0.00013723,             0.00013723
                      2,                 1.1072,                 2.2935,                 1.1475,                0.00333,                      1,                0.76646,                 0.4874,                 1.1546,                  2.727,                0.95923,             0.00021129,             0.00021129,             0.00021129
                      3,                0.96181,                 1.5575,                 1.0102,                0.44929,                0.91837,                0.85444,                0.45634,                 1.2396,                 2.6209,                0.98804,             0.00028218,             0.00028218,             0.00028218
                      4,                 1.1087,                 1.5038,                 1.0195,                0.00333,                      1,                0.93873,                0.69478,                0.89574,                 2.4429,                0.89899,              0.0003499,              0.0003499,              0.0003499
                      5,                  1.249,                 1.6243,                 1.0086,                0.00333,                      1,                0.94233,                0.58715,                 1.1263,                  2.501,                 0.9645,             0.00041446,             0.00041446,             0.00041446
                      6,                 1.0956,                   1.48,                 1.0555,                      1,                0.49568,                0.95022,                0.60225,                 1.0002,                  2.284,                0.90769,             0.00047585,             0.00047585,             0.00047585
                      7,                 1.0923,                 1.6189,                 1.0231,                      1,                0.51332,                0.98178,                0.65181,                 1.0401,                 2.3086,                0.91665,             0.00053407,             0.00053407,             0.00053407
                      8,                 1.1653,                 1.5465,                 1.1367,                      1,                0.59041,                0.95274,                 0.6769,                0.89244,                 2.2174,                0.89736,             0.00058912,             0.00058912,             0.00058912
                      9,                 1.1147,                 1.5363,                 1.0592,                      1,                0.87817,                0.95535,                0.72035,                0.82425,                 1.9996,                0.87399,               0.000641,               0.000641,               0.000641
                     10,                0.95472,                 1.2867,                0.98478,                      1,                0.74748,                0.95413,                0.66203,                 0.9174,                 2.2913,                0.91123,             0.00068972,             0.00068972,             0.00068972
                     11,                0.97632,                 1.4534,                 1.0179,                      1,                0.52028,                0.96731,                0.69988,                0.88637,                 2.3384,                0.88374,             0.00073527,             0.00073527,             0.00073527
                     12,                0.99228,                 1.3388,                 1.0611,                0.95592,                0.85714,                0.95868,                0.63775,                 1.1455,                  2.068,                 0.9349,             0.00077765,             0.00077765,             0.00077765
                     13,                 1.0472,                 1.3285,                0.98815,                0.91507,                0.87953,                0.95496,                0.67202,                 1.1103,                   1.86,                0.92209,             0.00081686,             0.00081686,             0.00081686
                     14,                 0.7585,                 3.8142,                 0.7823,                0.98707,                0.91837,                0.97621,                0.75127,                0.94472,                 1.7279,                0.89156,              0.0008529,              0.0008529,              0.0008529
                     15,                 0.9443,                 1.2452,                 1.0389,                      1,                0.88583,                0.97202,                0.76184,                0.84143,                 1.7998,                0.86008,             0.00088578,             0.00088578,             0.00088578
                     16,                 1.2726,                 1.5299,                 1.0748,                      1,                0.92468,                0.98518,                0.77391,                0.78664,                 1.6931,                0.85651,             0.00091549,             0.00091549,             0.00091549
                     17,                0.83619,                 1.1221,                0.99058,                0.97859,                0.93285,                0.98718,                0.78692,                0.78696,                 1.3284,                0.87893,             0.00094203,             0.00094203,             0.00094203
                     18,                0.89791,                 1.1434,                 1.0208,                0.99678,                0.91837,                0.98371,                0.76361,                0.85231,                 1.1321,                0.94064,              0.0009654,              0.0009654,              0.0009654
                     19,                 0.8644,                 1.1572,                0.98101,                0.99806,                0.91837,                0.98012,                0.77488,                0.84938,                 1.0942,                0.90082,              0.0009856,              0.0009856,              0.0009856
                     20,                 1.0225,                 1.2264,                0.97577,                0.95768,                0.92371,                0.96957,                0.69366,                 1.0542,                 1.1334,                0.89053,              0.0010026,              0.0010026,              0.0010026
                     21,                 1.0928,                 1.2476,                 1.0951,                 0.9759,                0.93878,                0.97427,                0.76672,                0.83788,                 1.0451,                0.82972,              0.0010165,              0.0010165,              0.0010165
                     22,                0.90292,                 1.1037,                 1.0379,                0.97864,                0.93512,                0.98231,                0.78587,                0.78512,                0.95727,                0.81876,              0.0010272,              0.0010272,              0.0010272
                     23,                0.77574,                 1.1381,                   1.02,                0.97489,                0.91837,                0.97928,                  0.789,                 0.7891,                0.97995,                0.83068,              0.0010347,              0.0010347,              0.0010347
                     24,                0.95458,                 1.0531,                 1.0172,                0.95963,                0.97035,                0.98768,                0.77328,                0.78555,                0.95602,                0.82884,              0.0010391,              0.0010391,              0.0010391
                     25,                 1.0923,                 1.0492,                 1.0908,                0.95691,                0.97959,                0.99111,                0.79658,                0.74752,                0.90159,                0.82954,                0.00101,                0.00101,                0.00101
                     26,                0.80496,                 1.0048,                 0.9666,                0.95968,                0.97959,                0.99145,                0.79957,                0.73451,                0.85785,                0.81683,                0.00101,                0.00101,                0.00101
                     27,                0.78995,                0.96043,                0.98184,                0.95533,                0.95918,                0.98809,                0.81794,                0.70065,                 0.8077,                0.81449,              0.0009704,              0.0009704,              0.0009704
                     28,                0.71882,                0.89814,                 0.9164,                0.99571,                0.91837,                0.98899,                0.81506,                0.72668,                0.82252,                0.81144,              0.0009308,              0.0009308,              0.0009308
                     29,                0.77737,                 0.9148,                0.92971,                0.99749,                0.91837,                0.98835,                 0.8021,                0.73931,                0.86614,                0.81447,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.8933,                0.94715,                 0.9289,                0.95906,                 0.9563,                0.98775,                 0.7616,                0.87481,                0.90329,                0.86008,              0.0008516,              0.0008516,              0.0008516
                     31,                0.74118,                0.89876,                0.93467,                 0.9791,                0.95595,                0.98944,                0.73036,                0.96292,                0.91361,                 0.8855,               0.000812,               0.000812,               0.000812
                     32,                 1.1522,                 1.1059,                 1.0613,                 0.9791,                0.95604,                 0.9919,                0.72805,                0.94413,                0.87596,                0.85308,              0.0007724,              0.0007724,              0.0007724
                     33,                0.77891,                0.89701,                 0.9469,                 0.9791,                0.95623,                0.99156,                 0.7695,                0.85177,                0.87319,                0.84511,              0.0007328,              0.0007328,              0.0007328
                     34,                0.79918,                0.83941,                0.92275,                0.97952,                 0.9763,                0.99233,                0.79154,                 0.7919,                0.85052,                0.84308,              0.0006932,              0.0006932,              0.0006932
                     35,                0.69773,                0.80885,                0.94464,                0.99576,                0.97959,                0.99315,                0.80679,                0.75832,                0.79881,                0.82322,              0.0006536,              0.0006536,              0.0006536
                     36,                0.52934,                 2.2119,                0.69427,                0.99812,                0.97959,                0.99349,                0.80787,                 0.7597,                0.77725,                0.80674,               0.000614,               0.000614,               0.000614
                     37,                0.91367,                0.88198,                0.95981,                      1,                0.97943,                0.99349,                0.80565,                0.73711,                0.74601,                0.80762,              0.0005744,              0.0005744,              0.0005744
                     38,                0.73723,                0.89135,                0.91115,                0.99956,                0.97959,                0.99422,                0.80987,                0.70645,                0.70001,                0.81246,              0.0005348,              0.0005348,              0.0005348
                     39,                0.71655,                0.82407,                0.91698,                0.97992,                  0.996,                 0.9946,                0.81569,                 0.6505,                0.68442,                0.79694,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7852,                0.84909,                0.96121,                0.97993,                0.99641,                 0.9946,                0.82956,                0.64427,                0.69172,                0.79157,              0.0004556,              0.0004556,              0.0004556
                     41,                0.74665,                0.76812,                0.94152,                      1,                0.97659,                0.99422,                0.84065,                0.65243,                0.67649,                0.78629,               0.000416,               0.000416,               0.000416
                     42,                0.73538,                0.82091,                0.96325,                      1,                0.97875,                0.99422,                0.84825,                 0.6562,                0.67085,                 0.7814,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.6792,                0.77849,                0.94863,                0.97993,                0.99631,                 0.9946,                0.84331,                0.69335,                  0.675,                0.78649,              0.0003368,              0.0003368,              0.0003368
                     44,                0.79127,                  1.059,                 1.0412,                0.97997,                0.99826,                 0.9946,                0.85371,                0.68982,                 0.6823,                 0.7842,              0.0002972,              0.0002972,              0.0002972
                     45,                0.50262,                 2.8395,                0.67482,                0.97823,                      1,                 0.9946,                0.85902,                0.66442,                0.68908,                0.77939,              0.0002576,              0.0002576,              0.0002576
                     46,                0.72011,                0.85616,                0.87321,                0.97776,                      1,                 0.9946,                0.86044,                 0.6355,                0.67058,                0.77348,               0.000218,               0.000218,               0.000218
                     47,                0.58203,                0.80714,                0.86903,                0.97752,                      1,                 0.9946,                 0.8594,                0.60835,                0.64692,                0.77138,              0.0001784,              0.0001784,              0.0001784
                     48,                  0.607,                0.78418,                0.86837,                      1,                0.99691,                  0.995,                0.86247,                0.60252,                0.63179,                0.77268,              0.0001388,              0.0001388,              0.0001388
                     49,                0.69853,                0.79298,                0.97206,                0.99907,                      1,                  0.995,                0.86232,                0.58967,                0.62031,                0.77055,               9.92e-05,               9.92e-05,               9.92e-05
